,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
0,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2013,Manual,"1,79,045",1st,Diesel,"5,07,599","11,291/month",Zero downpayment,Hyderabad,Telangana
1,Maruti Swift,Maruti,ZDI ,2012,Manual,"78,819",2nd,Diesel,"4,76,699","10,604/month",Zero downpayment,Hyderabad,Telangana
2,Honda Mobilio,Honda,1.5 V OPT I DTEC ,2014,Manual,"97,289",2nd,Diesel,"4,94,799","11,007/month",Zero downpayment,Hyderabad,Telangana
3,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,"45,693",2nd,Petrol,"3,31,999","7,385/month",Zero downpayment,Hyderabad,Telangana
4,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,"40,586",1st,Petrol,"6,20,299","13,798/month",Zero downpayment,Hyderabad,Telangana
5,Maruti Alto K10,Maruti,VXI ,2015,Manual,"2,34,695",1st,Petrol,"2,73,299","6,079/month",Zero downpayment,Hyderabad,Telangana
6,Skoda Octavia,Skoda,Style 1.4 TSI MT ,2017,Manual,"47,264",1st,Petrol,"12,92,899","28,760/month",Zero downpayment,Hyderabad,Telangana
7,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"1,53,631",1st,Diesel,"6,78,999","15,104/month",Zero downpayment,Hyderabad,Telangana
8,Honda City,Honda,V AT ,2010,Automatic,"1,52,381",1st,Petrol,"4,49,699","10,003/month",Zero downpayment,Hyderabad,Telangana
9,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,"33,367",1st,Diesel,"10,69,899","23,799/month",Zero downpayment,Hyderabad,Telangana
10,Hyundai VENUE,Hyundai,1.5 SX CRDI MT ,2020,Manual,"40,139",1st,Diesel,"10,42,799","23,196/month",Zero downpayment,Hyderabad,Telangana
11,Maruti Ciaz,Maruti,LPHA 1.5 AT VTVT SHVS ,2020,,"35,019",1st,Petrol,"10,83,299","24,097/month",Zero downpayment,Hyderabad,Telangana
12,Maruti Swift,Maruti,VDI ,2011,Manual,"1,11,043",1st,Diesel,"3,46,399","7,705/month",Zero downpayment,Hyderabad,Telangana
13,Mahindra XUV500,Mahindra,W11 ,2021,Automatic,"14,755",1st,Diesel,"23,00,999","51,184/month",Zero downpayment,Hyderabad,Telangana
14,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"49,094",1st,Petrol,"6,47,799","14,410/month",Zero downpayment,Hyderabad,Telangana
15,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2020,Automatic,"5,634",1st,Petrol,"12,60,699","28,044/month",Zero downpayment,Hyderabad,Telangana
16,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,"36,933",2nd,Petrol,"4,11,199","9,147/month",Zero downpayment,Hyderabad,Telangana
17,Maruti Alto K10,Maruti,LXI ,2011,Manual,"86,129",2nd,Petrol,"2,11,099","4,696/month",Zero downpayment,Hyderabad,Telangana
18,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,"51,619",1st,Diesel,"8,11,499","18,051/month",Zero downpayment,Hyderabad,Telangana
19,Maruti Vitara Brezza,Maruti,ZDI ,2018,Manual,"47,763",1st,Diesel,"8,60,499","19,141/month",Zero downpayment,Hyderabad,Telangana
20,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,"78,088",1st,Petrol,"3,67,299","8,170/month",Zero downpayment,Hyderabad,Telangana
