,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Maruti Alto,Maruti,LXI ,2020,Manual,"24,682",1st,Petrol,"99,099",878/month,Zero downpayment
1,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"30,525",1st,Petrol,"79,199",",660/month",Zero downpayment
2,Hyundai Elite i20,Hyundai,STA 1.2 ,2014,Manual,"50,257",1st,Petrol,"78,599",",871/month",Zero downpayment
3,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,"14,586",1st,Petrol,"88,799",",873/month",Zero downpayment
4,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,"33,310",1st,Petrol,"84,099",544/month,Zero downpayment
5,Datsun Redi Go,Datsun,1.0 T(O) ,2018,Manual,"19,423",2nd,Petrol,"65,099",897/month,Zero downpayment
6,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,"14,970",1st,Petrol,"36,799",716/month,Zero downpayment
7,Maruti Dzire,Maruti,VDI ,2017,Manual,"64,299",1st,Diesel,"75,699",",806/month",Zero downpayment
8,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2021,Manual,"5,656",1st,Petrol,"21,199",",267/month",Zero downpayment
9,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2016,Manual,"74,251",2nd,Diesel,"36,299",",930/month",Zero downpayment
10,Tata Harrier,Tata,XZ 2.0L Kryotec ,2019,Manual,"34,644",1st,Diesel,",49,099",",234/month",Zero downpayment
11,Maruti Baleno,Maruti,DELTA DDIS 190 ,2017,Manual,"83,204",1st,Diesel,"32,299",",841/month",Zero downpayment
12,Maruti Dzire,Maruti,VDI ,2017,Manual,"50,279",1st,Diesel,"28,099",",972/month",Zero downpayment
13,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,"82,056",2nd,Diesel,"95,399",",244/month",Zero downpayment
14,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2015,Manual,"76,209",1st,Petrol,"42,699",",072/month",Zero downpayment
15,Hyundai Elite i20,Hyundai,STA 1.2 DUAL TONE ,2017,Manual,"28,959",2nd,Petrol,"53,099",",528/month",Zero downpayment
16,Hyundai Creta,Hyundai,1.6 EX CRDI ,2020,Manual,"26,284",1st,Diesel,",30,499",",372/month",Zero downpayment
17,Audi A3,Audi,35TDI PREMIUM ,2018,Automatic,"39,254",2nd,Diesel,",68,199",",781/month",Zero downpayment
18,Maruti Dzire,Maruti,ZDI Plus ,2017,Manual,"41,159",1st,Diesel,"04,499",",671/month",Zero downpayment
19,Hyundai Creta,Hyundai,SX MT ,2021,Manual,"3,203",1st,Diesel,",95,599",",167/month",Zero downpayment
20,Jeep Compass,Jeep,2.0 LIMITED 4*2 ,2017,Manual,"1,48,933",1st,Diesel,",95,499",",369/month",Zero downpayment
21,Hyundai Verna,Hyundai,1.6 SX VTVT ,2019,Manual,"33,957",2nd,Petrol,"15,699",",369/month",Zero downpayment
22,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"1,08,852",1st,Diesel,"14,199",",663/month",Zero downpayment
23,Maruti Ciaz,Maruti,LPHA 1.4 VVT AMT ,2018,Automatic,"13,881",1st,Petrol,"89,899",",795/month",Zero downpayment
24,Hyundai Verna,Hyundai,1.6 SX (O) CRDI MT ,2017,Manual,"26,831",2nd,Diesel,"35,399",",807/month",Zero downpayment
