,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Hyundai i20 Active,Hyundai,1.4 SX ,2016,Manual,"46,853",1st,Diesel,"7,70,299","17,135/month",Zero downpayment
1,Datsun Redi Go,Datsun,T (O) ,2017,Manual,"37,217",1st,Petrol,"3,11,399","6,927/month",Zero downpayment
2,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2017,Manual,"22,645",1st,Petrol,"5,93,199","13,195/month",Zero downpayment
3,Volkswagen Ameo,Volkswagen,HIGHLINE 1.5 ,2016,Manual,"56,225",1st,Diesel,"6,18,999","13,769/month",Zero downpayment
4,Maruti Ertiga,Maruti,VDI ABS ,2015,Manual,"56,700",1st,Diesel,"7,90,199","17,578/month",Zero downpayment
5,Mahindra Scorpio,Mahindra,S6 PLUS ,2017,Manual,"53,164",1st,Diesel,"11,20,399","24,923/month",Zero downpayment
6,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2015,Manual,"93,028",1st,Diesel,"6,58,899","14,657/month",Zero downpayment
7,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,"43,221",2nd,Diesel,"6,86,299","15,266/month",Zero downpayment
8,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2017,Automatic,"45,447",1st,Diesel,"12,57,699","27,977/month",Zero downpayment
9,Hyundai Elite i20,Hyundai,STA 1.2 ,2016,Manual,"30,731",2nd,Petrol,"7,17,999","15,971/month",Zero downpayment
10,Hyundai Creta,Hyundai,1.6 SX CRDI ,2017,Manual,"46,963",1st,Diesel,"11,97,299","26,633/month",Zero downpayment
11,Ford Figo Aspire,Ford,1.2 TREND PETROL ,2016,Manual,"38,435",1st,Petrol,"4,76,199","10,593/month",Zero downpayment
12,Hyundai AURA,Hyundai,SX (O) MT ,2020,,"4,081",1st,Petrol,"7,88,899","17,549/month",Zero downpayment
13,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"49,261",2nd,Petrol,"5,99,799","13,342/month",Zero downpayment
14,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"28,621",2nd,Petrol,"6,41,999","14,281/month",Zero downpayment
15,Toyota YARIS,Toyota,V MT ,2018,Manual,"36,132",1st,Petrol,"8,69,799","19,348/month",Zero downpayment
16,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2017,Manual,"17,556",1st,Petrol,"5,35,899","11,921/month",Zero downpayment
17,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"52,961",1st,Petrol,"7,06,499","15,716/month",Zero downpayment
18,Honda Amaze,Honda,1.2 VXMT I VTEC ,2013,Manual,"47,501",2nd,Petrol,"5,07,999","11,300/month",Zero downpayment
19,Hyundai i20 Active,Hyundai,1.2 SX ,2017,Manual,"34,999",1st,Petrol,"7,30,499","16,250/month",Zero downpayment
20,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"41,239",1st,Petrol,"6,61,599","14,717/month",Zero downpayment
21,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2016,Manual,"28,589",2nd,Petrol,"5,01,899","11,164/month",Zero downpayment
22,Honda City,Honda,S MT PETROL ,2014,Manual,"57,778",1st,Petrol,"6,61,399","14,712/month",Zero downpayment
23,Ford Figo,Ford,1.2 TITANIUM DURATEC ,2013,Manual,"31,710",1st,Petrol,"4,09,299","9,105/month",Zero downpayment
24,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"29,132",1st,Petrol,"5,40,399","12,021/month",Zero downpayment
25,Honda Jazz,Honda,1.2 V MT ,2016,Manual,"27,819",1st,Petrol,"6,70,499","14,915/month",Zero downpayment
26,Honda Jazz,Honda,1.2 S AT ,2016,Automatic,"47,947",2nd,Petrol,"6,65,799","14,810/month",Zero downpayment
27,Hyundai i20,Hyundai,SPORTZ 1.4 AT VTVT ,2013,Automatic,"50,903",1st,Petrol,"5,40,799","12,030/month",Zero downpayment
28,Honda City,Honda,V MT PETROL ,2014,Manual,"68,519",2nd,Petrol,"6,43,499","14,314/month",Zero downpayment
29,Renault Duster,Renault,RXS CVT 106 PS ,2018,Automatic,"16,936",1st,Petrol,"9,82,799","21,862/month",Zero downpayment
30,Audi A6,Audi,35 TDI S LINE ,2014,Automatic,"73,443",1st,Diesel,"19,22,899","42,774/month",Zero downpayment
31,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2014,Manual,"37,993",1st,Petrol,"4,93,499","10,978/month",Zero downpayment
32,Maruti Alto 800,Maruti,LXI ,2012,Manual,"28,154",2nd,Petrol,"2,49,199","5,543/month",Zero downpayment
33,MG HECTOR PLUS,MG,SHARP HYBRID PETROL ,2020,Manual,"6,393",1st,Petrol,"19,49,699","43,370/month",Zero downpayment
34,Hyundai Elite i20,Hyundai,1.4 CRDI ASTA (O) ,2017,Manual,"1,00,703",1st,Diesel,"7,00,799","15,589/month",Zero downpayment
35,Mahindra XUV500,Mahindra,W8 FWD ,2017,Manual,"45,362",1st,Diesel,"13,40,999","29,830/month",Zero downpayment
36,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"40,525",2nd,Petrol,"4,24,099","9,434/month",Zero downpayment
37,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"12,850",1st,Petrol,"5,83,099","12,971/month",Zero downpayment
38,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,"48,619",1st,Petrol,"4,82,799","10,740/month",Zero downpayment
39,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2016,Automatic,"33,589",2nd,Petrol,"7,19,499","16,005/month",Zero downpayment
40,Datsun Redi Go,Datsun,1.0 S AT ,2018,,"21,745",1st,Petrol,"3,99,499","8,887/month",Zero downpayment
41,Datsun Redi Go,Datsun,1.0 S AT ,2018,Automatic,"26,527",1st,Petrol,"4,19,499","9,332/month",Zero downpayment
42,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2018,Automatic,"35,691",2nd,Petrol,"9,26,399","20,607/month",Zero downpayment
43,Hyundai NEW SANTRO,Hyundai,1.1 MAGNA MT ,2019,Manual,"10,782",1st,Petrol,"5,51,999","12,279/month",Zero downpayment
44,Maruti Swift,Maruti,VXI ,2011,Manual,"57,742",1st,Petrol,"3,73,099","8,299/month",Zero downpayment
