,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"54,017",2nd,Petrol,"4,10,199","9,125/month",Zero downpayment
1,Honda City,Honda,V MT PETROL ,2015,Manual,"79,725",3rd,Petrol,"5,74,099","12,771/month",Zero downpayment
2,Hyundai i20 Active,Hyundai,1.2 S ,2015,Manual,"59,078",2nd,Petrol,"5,28,399","11,754/month",Zero downpayment
3,Maruti Dzire,Maruti,ZDI Plus AMT ,2017,Automatic,"98,433",1st,Diesel,"6,75,399","15,024/month",Zero downpayment
4,Ford New Figo,Ford,1.2 TITANIUM ,2017,Manual,"19,376",1st,Petrol,"4,98,799","11,096/month",Zero downpayment
5,Renault Lodgy,Renault,110 PS RXZ 8 STR ,2015,Manual,"1,38,716",1st,Diesel,"6,41,899","14,279/month",Zero downpayment
6,Ford FREESTYLE,Ford,TITANIUM + 1.2 TI-VCT ,2018,,"20,706",1st,Petrol,"6,26,999","13,947/month",Zero downpayment
7,Maruti Ertiga,Maruti,ZDI PLUS SHVS ,2016,Manual,"99,644",1st,Diesel,"7,76,499","17,273/month",Zero downpayment
8,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,"1,01,920",1st,Diesel,"6,24,199","13,885/month",Zero downpayment
9,Maruti Ciaz,Maruti,ZETA 1.4 VVT AMT ,2018,Automatic,"34,106",1st,Petrol,"7,99,999","17,796/month",Zero downpayment
10,Honda WR-V,Honda,1.5 i-DTEC VX MT ,2017,Manual,"1,02,522",1st,Diesel,"7,33,399","16,314/month",Zero downpayment
11,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2018,Manual,"22,339",1st,Petrol,"8,30,399","18,472/month",Zero downpayment
12,Hyundai Creta,Hyundai,1.6 SX PLUS VTVT ,2016,Manual,"1,27,971",1st,Petrol,"7,78,199","17,311/month",Zero downpayment
13,Hyundai Verna,Hyundai,1.6 SX VTVT ,2018,Manual,"26,402",2nd,Petrol,"9,03,599","20,100/month",Zero downpayment
14,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"87,618",1st,Petrol,"5,43,299","12,085/month",Zero downpayment
15,Mahindra TUV300,Mahindra,T6+ ,2018,Manual,"45,005",1st,Diesel,"8,04,899","17,905/month",Zero downpayment
16,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2016,Manual,"53,269",1st,Petrol,"6,77,099","15,062/month",Zero downpayment
17,Jeep Compass,Jeep,2.0 LIMITED ,2018,Manual,"35,298",1st,Diesel,"15,20,299","33,818/month",Zero downpayment
18,Honda Amaze,Honda,1.2 SMT I VTEC ,2015,Manual,"37,088",2nd,Petrol,"4,90,899","10,920/month",Zero downpayment
19,Maruti S Cross,Maruti,ZETA 1.3 ,2015,Manual,"1,52,026",1st,Diesel,"6,01,899","13,389/month",Zero downpayment
20,Hyundai GRAND I10 NIOS,Hyundai,GNA 1.2 AT ,2020,Automatic,"60,307",1st,Petrol,"6,98,199","15,531/month",Zero downpayment
21,Hyundai GRAND I10 NIOS,Hyundai,1.2 Kappa Sports MT ,2020,Manual,"37,986",1st,Petrol,"6,58,299","14,643/month",Zero downpayment
22,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2017,Manual,"84,016",1st,Diesel,"8,65,099","19,244/month",Zero downpayment
23,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"81,412",1st,Petrol,"5,55,299","12,352/month",Zero downpayment
24,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2018,Manual,"20,192",1st,Petrol,"5,95,099","13,238/month",Zero downpayment
25,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2018,Manual,"14,485",2nd,Petrol,"6,19,399","13,778/month",Zero downpayment
26,Honda Amaze,Honda,1.2 SX MT I VTEC ,2015,Manual,"62,723",1st,Petrol,"4,97,199","11,060/month",Zero downpayment
27,Volkswagen Vento,Volkswagen,HIGHLINE TDI AT ,2015,Automatic,"91,087",2nd,Diesel,"6,67,399","14,846/month",Zero downpayment
28,Honda City,Honda,V MT PETROL ,2017,Manual,"81,387",1st,Petrol,"7,47,699","16,632/month",Zero downpayment
29,Maruti Baleno,Maruti,LPHA DDIS 190 ,2017,Manual,"54,937",1st,Diesel,"6,69,499","14,893/month",Zero downpayment
30,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"32,490",1st,Petrol,"6,03,499","13,425/month",Zero downpayment
31,Maruti Swift Dzire,Maruti,VXI OPT ,2017,Manual,"29,105",1st,Petrol,"5,62,399","12,510/month",Zero downpayment
32,Hyundai Creta,Hyundai,1.6 SX CRDI ,2017,,"1,23,920",2nd,Diesel,"8,54,099","18,999/month",Zero downpayment
33,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2016,Manual,"97,408",1st,Diesel,"6,48,199","14,419/month",Zero downpayment
34,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2014,Manual,"65,341",2nd,Petrol,"4,57,299","10,172/month",Zero downpayment
35,Maruti Vitara Brezza,Maruti,ZDI + AMT ,2018,Automatic,"58,201",1st,Diesel,"8,99,099","20,000/month",Zero downpayment
36,Tata Hexa,Tata,Varicor 400 XT ,2019,Manual,"46,337",1st,Diesel,"18,62,899","41,439/month",Zero downpayment
37,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2018,Manual,"50,388",1st,Diesel,"8,51,899","18,950/month",Zero downpayment
38,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"31,012",1st,Petrol,"5,43,299","12,085/month",Zero downpayment
39,Hyundai Creta,Hyundai,1.4 E PLUS CRDI ,2019,Manual,"94,409",1st,Diesel,"9,24,999","20,576/month",Zero downpayment
40,Maruti Vitara Brezza,Maruti,ZDI ,2019,Manual,"52,270",1st,Diesel,"8,79,099","19,555/month",Zero downpayment
41,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2018,Manual,"67,833",1st,Petrol,"8,30,399","18,472/month",Zero downpayment
42,Honda Jazz,Honda,1.2 VX AT ,2019,Manual,"4,355",1st,Petrol,"8,35,599","18,587/month",Zero downpayment
43,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2019,Manual,"35,220",1st,Petrol,"5,40,299","12,019/month",Zero downpayment
44,Maruti S PRESSO,Maruti,VXI ,2020,Manual,"21,269",1st,Petrol,"4,76,199","10,593/month",Zero downpayment
45,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2017,Manual,"46,621",1st,Petrol,"5,16,999","11,500/month",Zero downpayment
46,Hyundai Grand i10,Hyundai,gna 1.2 AT  VTVT ,2017,Automatic,"52,156",1st,Petrol,"5,35,799","11,919/month",Zero downpayment
47,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2016,Manual,"28,579",2nd,Petrol,"3,88,499","8,642/month",Zero downpayment
48,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2015,Manual,"48,422",1st,Petrol,"4,00,899","8,918/month",Zero downpayment
49,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2019,Manual,"26,682",1st,Petrol,"6,15,499","13,691/month",Zero downpayment
50,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2015,Manual,"20,115",2nd,Petrol,"3,43,899","7,650/month",Zero downpayment
51,Maruti Wagon R 1.0,Maruti,VXI ,2018,Manual,"27,417",1st,Petrol,"4,98,299","11,084/month",Zero downpayment
52,Hyundai Eon,Hyundai,ERA PLUS (O) ,2017,Manual,"20,873",2nd,Petrol,"3,57,899","7,961/month",Zero downpayment
