,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Maruti Zen Estilo,Maruti,VXI ,2009,Manual,"38,160",1st,Petrol,"04,199",542/month,Zero downpayment
1,Maruti Swift,Maruti,VDI ,2012,Manual,"1,20,326",2nd,Diesel,"60,099",786/month,Zero downpayment
2,Maruti Ertiga,Maruti,VDI ABS ,2013,Manual,"1,19,146",3rd,Diesel,"69,199",",437/month",Zero downpayment
3,Maruti Swift Dzire,Maruti,LDI BS IV ,2014,Manual,"1,18,729",2nd,Diesel,"10,899",916/month,Zero downpayment
4,Maruti Ritz,Maruti,LXI ,2010,Manual,"77,787",2nd,Petrol,"44,999",450/month,Zero downpayment
5,Maruti Swift,Maruti,VDI ABS ,2017,Manual,"96,866",1st,Diesel,"97,399",",064/month",Zero downpayment
6,Hyundai i10,Hyundai,GNA 1.2 ,2009,Manual,"1,01,741",1st,Petrol,"84,499",104/month,Zero downpayment
7,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2014,Manual,"1,56,205",1st,Diesel,"55,199",",126/month",Zero downpayment
8,Maruti Swift,Maruti,VDI ,2013,Manual,"76,608",1st,Diesel,"69,799",226/month,Zero downpayment
9,Maruti Swift,Maruti,VDI ,2013,Manual,"1,14,506",1st,Diesel,"30,499",352/month,Zero downpayment
10,Toyota Innova,Toyota,2.5 VX 7 STR BS IV ,2014,Manual,"93,591",1st,Diesel,"15,499",",140/month",Zero downpayment
11,Mahindra Scorpio,Mahindra,S5 2WD ,2019,Manual,"13,601",1st,Diesel,",63,699",",886/month",Zero downpayment
12,Maruti Swift,Maruti,VDI ABS ,2017,Manual,"97,591",1st,Diesel,"09,199",",327/month",Zero downpayment
13,Maruti Vitara Brezza,Maruti,VDI OPT ,2016,Manual,"98,517",1st,Diesel,"28,299",",976/month",Zero downpayment
14,Ford Ecosport,Ford,1.5 TREND+ TDCI ,2017,Manual,"60,245",1st,Diesel,"61,099",",706/month",Zero downpayment
15,Maruti Vitara Brezza,Maruti,VDI OPT ,2017,Manual,"83,988",1st,Diesel,"57,999",",637/month",Zero downpayment
16,Maruti Ciaz,Maruti,DELTA 1.3 DDIS SHVS ,2017,Manual,"61,778",1st,Diesel,"38,999",",214/month",Zero downpayment
17,Hyundai Xcent,Hyundai,BASE 1.2 ,2014,Manual,"42,384",1st,Petrol,"81,699",491/month,Zero downpayment
18,Hyundai AURA,Hyundai,E MT 1.2 KAPPA ,2020,Manual,"1,441",1st,Petrol,"86,799",",053/month",Zero downpayment
19,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,"90,110",1st,Diesel,"36,199",",376/month",Zero downpayment
20,Maruti Swift,Maruti,VDI ,2018,Manual,"67,139",1st,Diesel,"72,899",",744/month",Zero downpayment
21,Hyundai New Elantra,Hyundai,S 1.6 MT ,2013,Manual,"47,959",2nd,Diesel,"60,999",",704/month",Zero downpayment
22,Ford Ecosport,Ford,1.5 TREND TDCI ,2015,Manual,"46,481",2nd,Diesel,"88,999",",878/month",Zero downpayment
23,Toyota Innova,Toyota,2.5 VX 8 STR BS IV ,2014,Manual,"1,36,708",1st,Diesel,",31,399",",943/month",Zero downpayment
24,ISUZU D-MAX S-CAB,ISUZU,2.5 TD ,2017,Manual,"40,345",1st,Diesel,"50,499",",694/month",Zero downpayment
25,Toyota Etios,Toyota,VX D ,2015,Manual,"77,530",1st,Diesel,"95,199",",015/month",Zero downpayment
26,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2015,Manual,"95,487",1st,Petrol,"67,399",",397/month",Zero downpayment
27,Maruti Alto 800,Maruti,LXI ,2017,Manual,"21,794",2nd,Petrol,"10,799",914/month,Zero downpayment
28,Volkswagen Polo,Volkswagen,HIGHLINE1.2L PETROL ,2016,Manual,"64,096",2nd,Petrol,"60,299",",239/month",Zero downpayment
29,Volkswagen Polo,Volkswagen,TRENDLINE 1.2L PETROL ,2014,Manual,"71,299",2nd,Petrol,"87,899",629/month,Zero downpayment
30,BMW 5 Series,BMW,520D 2.0 ,2012,Automatic,"79,585",1st,Diesel,",85,999",",606/month",Zero downpayment
31,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"19,831",1st,Petrol,"67,799",",855/month",Zero downpayment
32,Renault Duster,Renault,85 PS RXE ,2014,Manual,"1,59,012",1st,Diesel,"15,099",234/month,Zero downpayment
33,Mahindra Scorpio,Mahindra,S4+Intelli Hybrid 2WD ,2017,Manual,"44,533",2nd,Diesel,"07,899",",196/month",Zero downpayment
34,Honda City,Honda,V MT PETROL ,2009,Manual,"44,221",2nd,Petrol,"13,899",983/month,Zero downpayment
35,Mahindra Scorpio,Mahindra,S10 Intelli Hybrid 2WD ,2016,Manual,"55,537",1st,Diesel,",63,999",",668/month",Zero downpayment
36,Maruti Ertiga,Maruti,ZDI PLUS SHVS ,2016,Manual,"27,611",2nd,Diesel,"15,399",",914/month",Zero downpayment
37,Toyota YARIS,Toyota,VX CVT ,2018,,"39,407",1st,Petrol,"64,299",",226/month",Zero downpayment
38,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"62,587",1st,Petrol,"79,799",",897/month",Zero downpayment
