,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Maruti Celerio X,Maruti,Zxi ,2019,Manual,"25,594",1st,Petrol,"64,799",",339/month",Zero downpayment
1,Hyundai GRAND I10 NIOS,Hyundai,ERA PETROL ,2021,Manual,383,1st,Petrol,"75,099",",793/month",Zero downpayment
2,Maruti Swift,Maruti,VXI AMT ,2018,Automatic,"18,224",1st,Petrol,"30,499",",025/month",Zero downpayment
3,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"15,995",1st,Petrol,"14,499",220/month,Zero downpayment
4,Maruti Swift,Maruti,VXI ,2019,Manual,"26,389",1st,Petrol,"82,099",",948/month",Zero downpayment
5,Honda Amaze,Honda,1.5 EMT I DTEC ,2016,Manual,"86,852",1st,Diesel,"14,299",216/month,Zero downpayment
6,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"19,799",1st,Petrol,"52,499",",514/month",Zero downpayment
7,Hyundai Creta,Hyundai,1.6 SX (O) CRDI ,2016,Manual,"32,452",2nd,Diesel,",87,199",",184/month",Zero downpayment
8,Maruti Dzire,Maruti,ZXI AMT ,2019,Automatic,"18,763",1st,Petrol,"24,699",",121/month",Zero downpayment
9,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"7,981",1st,Petrol,"36,999",",394/month",Zero downpayment
10,Toyota Innova,Toyota,2.5 GX 8 STR BS IV ,2012,Manual,"2,01,883",2nd,Diesel,"44,199",",330/month",Zero downpayment
11,Maruti Baleno,Maruti,SIGMA 1.2 K12 ,2016,Manual,"60,825",3rd,Petrol,"05,399",",242/month",Zero downpayment
12,Maruti S PRESSO,Maruti,VXI PLUS AGS ,2020,Automatic,"1,661",1st,Petrol,"05,399",",242/month",Zero downpayment
13,Maruti Alto 800,Maruti,LXI ,2019,Manual,"24,757",1st,Petrol,"57,099",943/month,Zero downpayment
14,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"10,648",1st,Petrol,"53,699",",541/month",Zero downpayment
