,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Maruti Zen Estilo,Maruti,VXI ,2013,Manual,"37,265",1st,Petrol,"2,56,599","5,708/month",Zero downpayment
1,Maruti Swift,Maruti,VXI ,2014,Manual,"54,947",2nd,Petrol,"3,77,399","8,395/month",Zero downpayment
2,Hyundai Verna,Hyundai,FLUIDIC 1.6 SX CRDI ,2015,Manual,"47,025",2nd,Diesel,"5,43,099","12,081/month",Zero downpayment
3,Renault Duster,Renault,RXZ DIESEL 110 ,2013,Manual,"51,522",1st,Diesel,"4,44,099","9,879/month",Zero downpayment
4,Maruti Ertiga,Maruti,ZXI ,2014,Manual,"12,904",1st,Petrol,"5,89,099","13,104/month",Zero downpayment
5,Renault Captur,Renault,RXE PETROL MT ,2018,Manual,"6,511",1st,Petrol,"6,70,599","14,917/month",Zero downpayment
6,Maruti Wagon R 1.0,Maruti,VXI ,2018,Manual,"22,625",1st,Petrol,"3,98,899","8,873/month",Zero downpayment
7,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"45,918",1st,Petrol,"3,91,999","8,720/month",Zero downpayment
8,Maruti Alto 800,Maruti,LXI ,2014,Manual,"51,024",1st,Petrol,"2,34,699","5,221/month",Zero downpayment
9,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"14,600",1st,Petrol,"5,79,799","12,897/month",Zero downpayment
10,Maruti Alto 800,Maruti,LXI ,2018,Manual,"34,696",1st,Petrol,"2,92,199","6,500/month",Zero downpayment
11,Nissan MAGNITE,Nissan,XV  TURBO MT ,2021,Manual,"18,953",1st,Petrol,"6,86,999","15,282/month",Zero downpayment
12,Maruti Alto 800,Maruti,LXI ,2014,Manual,"3,733",1st,Petrol,"2,52,999","5,628/month",Zero downpayment
13,Maruti Ciaz,Maruti,ZETA 1.4 VVT ,2018,Manual,"37,826",1st,Petrol,"6,80,299","15,133/month",Zero downpayment
