,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Ford New Figo,Ford,1.2 TREND ,2017,Manual,58,1st,Petrol,"4,20,699","9,358/month",Zero downpayment
1,Maruti Swift,Maruti,VDI ,2012,Manual,"69,711",2nd,Diesel,"4,09,599","9,111/month",Zero downpayment
2,Maruti Vitara Brezza,Maruti,ZXI+ AT SHVS ,2020,Automatic,"13,934",1st,Petrol,"11,31,099","25,161/month",Zero downpayment
3,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"16,631",1st,Petrol,"8,11,899","18,060/month",Zero downpayment
4,Hyundai Tucson New,Hyundai,2WD AT GLS DIESEL ,2017,Automatic,"64,801",1st,Diesel,"16,66,499","37,070/month",Zero downpayment
5,Hyundai i20 Active,Hyundai,1.4 SX ,2015,Manual,"71,713",1st,Diesel,"6,35,199","14,130/month",Zero downpayment
6,Hyundai i20 Active,Hyundai,1.4 SX ,2015,Manual,"1,43,485",1st,Diesel,"6,28,099","13,972/month",Zero downpayment
7,Honda Civic,Honda,ZX CVT PETROL ,2019,Automatic,"29,075",1st,Petrol,"17,28,499","38,450/month",Zero downpayment
8,Honda Civic,Honda,ZX CVT PETROL ,2019,Automatic,"19,570",1st,Petrol,"18,39,699","40,923/month",Zero downpayment
9,Honda CRV,Honda,2.4 AWD AT ,2013,,"81,458",2nd,Petrol,"7,85,999","17,484/month",Zero downpayment
10,Tata ALTROZ,Tata,XZ 1.2 ,2020,Manual,"16,523",1st,Petrol,"8,48,299","18,870/month",Zero downpayment
11,Maruti New  Wagon-R,Maruti,VXI 1.0 ,2019,Manual,"9,608",1st,Petrol,"5,55,099","12,348/month",Zero downpayment
12,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"52,988",1st,Diesel,"7,22,999","16,083/month",Zero downpayment
13,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"1,30,014",1st,Petrol,"5,16,699","11,494/month",Zero downpayment
14,Hyundai i20 Active,Hyundai,1.2 SX ,2017,Manual,"12,910",1st,Petrol,"6,32,399","14,067/month",Zero downpayment
15,Maruti Vitara Brezza,Maruti,VDI OPT ,2017,Manual,"46,304",1st,Diesel,"7,30,599","16,252/month",Zero downpayment
16,Jeep Compass,Jeep,2.0 LONGITUDE ,2017,Manual,"62,695",1st,Diesel,"13,58,799","30,226/month",Zero downpayment
17,Toyota Glanza,Toyota,G CVT ,2019,Automatic,"44,175",1st,Petrol,"7,85,599","17,475/month",Zero downpayment
18,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"11,691",1st,Petrol,"6,11,099","13,594/month",Zero downpayment
19,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"47,955",1st,Petrol,"6,04,899","13,456/month",Zero downpayment
20,Hyundai Verna,Hyundai,FLUIDIC 1.6 SX VTVT ,2017,Manual,"43,085",2nd,Petrol,"7,88,199","17,533/month",Zero downpayment
21,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"51,532",1st,Petrol,"5,81,899","12,944/month",Zero downpayment
22,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"40,087",1st,Petrol,"5,72,599","12,737/month",Zero downpayment
23,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"24,481",1st,Petrol,"6,23,999","13,881/month",Zero downpayment
24,Maruti Baleno,Maruti,LPHA DDIS 190 ,2016,Manual,"85,248",1st,Diesel,"6,54,999","14,570/month",Zero downpayment
25,Maruti Dzire,Maruti,VDI ,2017,Manual,"1,07,185",1st,Diesel,"6,95,799","15,478/month",Zero downpayment
26,Maruti Dzire,Maruti,VXI ,2018,Manual,"40,870",1st,Petrol,"7,04,199","15,665/month",Zero downpayment
27,Maruti Dzire,Maruti,VXI ,2018,Manual,"40,267",1st,Petrol,"6,94,899","15,458/month",Zero downpayment
28,Maruti Dzire,Maruti,VXI ,2018,Manual,"18,895",1st,Petrol,"7,04,199","15,665/month",Zero downpayment
29,Maruti Dzire,Maruti,VXI ,2018,Manual,"14,904",1st,Petrol,"7,04,199","15,665/month",Zero downpayment
30,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"25,586",1st,Petrol,"8,16,099","18,154/month",Zero downpayment
31,Hyundai VENUE,Hyundai,1.0 TURBO GDI SX+ AT ,2020,Automatic,"21,526",1st,Petrol,"11,35,899","25,267/month",Zero downpayment
32,Tata NEXON,Tata,XZA + 1.2 PETROL A/T ,2021,Automatic,"6,352",1st,Petrol,"11,88,199","26,431/month",Zero downpayment
33,Maruti IGNIS,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"31,550",2nd,Petrol,"5,33,299","11,863/month",Zero downpayment
34,Maruti Dzire,Maruti,ZDI Plus ,2018,Manual,"30,200",2nd,Diesel,"7,99,999","17,796/month",Zero downpayment
35,Maruti Dzire,Maruti,ZDI Plus ,2018,Manual,"51,484",1st,Diesel,"7,89,399","17,560/month",Zero downpayment
36,Maruti Ertiga,Maruti,ZDI SHVS ,2016,Manual,"57,921",1st,Diesel,"8,67,199","19,290/month",Zero downpayment
37,Maruti IGNIS,Maruti,DELTA 1.3 DDIS ,2017,Manual,"29,027",1st,Diesel,"5,43,199","12,083/month",Zero downpayment
