,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
0,Volkswagen Polo,Volkswagen,HIGHLINE1.2L PETROL ,2011,Manual,"1,06,730",2nd,Petrol,"19,699",112/month,Zero downpayment
1,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,"91,778",1st,Petrol,"74,299",",551/month",Zero downpayment
2,Hyundai Xcent,Hyundai,S 1.2 OPT ,2014,Manual,"64,894",1st,Petrol,"22,699",403/month,Zero downpayment
3,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2014,Manual,"75,324",1st,Diesel,"92,899",",189/month",Zero downpayment
4,Maruti Dzire,Maruti,VDI ,2018,Manual,"64,285",1st,Diesel,"41,799",",501/month",Zero downpayment
5,Maruti Ciaz,Maruti,LPHA 1.3 DDIS SHVS ,2018,Manual,"28,121",1st,Diesel,"62,499",",186/month",Zero downpayment
6,Honda City,Honda,SV MT PETROL ,2014,Manual,"76,410",1st,Petrol,"12,499",",400/month",Zero downpayment
7,Maruti Celerio,Maruti,VXI ,2018,Manual,"15,478",1st,Petrol,"94,299",",995/month",Zero downpayment
8,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"39,559",1st,Petrol,"57,099",",392/month",Zero downpayment
9,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2018,Manual,"23,172",1st,Petrol,"30,599",",027/month",Zero downpayment
10,Hyundai Elite i20,Hyundai,GNA 1.2 ,2016,Manual,"88,342",2nd,Petrol,"80,299",",684/month",Zero downpayment
11,Honda Amaze,Honda,1.2 SMT I VTEC ,2013,Manual,"44,940",4th,Petrol,"00,799",916/month,Zero downpayment
12,Volkswagen Ameo,Volkswagen,HIGHLINE 1.2 ,2016,Manual,"30,483",1st,Petrol,"01,799",",162/month",Zero downpayment
13,Landrover Freelander 2,Landrover,TD4 SE ,2014,Automatic,"1,17,682",2nd,Diesel,",77,799",",873/month",Zero downpayment
14,Ford Ecosport,Ford,1.5 TREND TDCI ,2014,Manual,"55,514",1st,Diesel,"31,199",",816/month",Zero downpayment
15,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2014,Manual,"54,930",2nd,Diesel,"71,699",",717/month",Zero downpayment
16,Hyundai i20 Active,Hyundai,1.2 S ,2015,Manual,"35,140",1st,Petrol,"75,399",",799/month",Zero downpayment
17,Hyundai Creta,Hyundai,1.6 SX PLUS VTVT ,2016,Manual,"53,398",1st,Petrol,"94,099",",889/month",Zero downpayment
18,Skoda Rapid,Skoda,ELEGANCE 1.6 MPFI MT ,2014,Manual,"51,869",2nd,Petrol,"22,799",405/month,Zero downpayment
19,Tata Hexa,Tata,Varicor 400 XT ,2017,Manual,"99,787",1st,Diesel,"39,299",",894/month",Zero downpayment
20,Renault Duster,Renault,RXZ DIESEL 110 ,2012,Manual,"1,25,998",2nd,Diesel,"19,299",",552/month",Zero downpayment
21,Skoda Octavia,Skoda,ELEGANCE 2.0 TDI CR AT ,2015,Automatic,"80,501",3rd,Diesel,"82,499",",631/month",Zero downpayment
22,Hyundai Creta,Hyundai,1.6 SX PLUS DIESEL ,2016,Manual,"37,790",1st,Diesel,",29,199",",894/month",Zero downpayment
23,Honda WR-V,Honda,1.2 i-VTEC S MT ,2017,Manual,"25,508",3rd,Petrol,"73,799",",764/month",Zero downpayment
24,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2017,Manual,"66,607",1st,Petrol,"56,999",",615/month",Zero downpayment
25,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2017,Manual,"1,00,164",1st,Petrol,"53,599",",539/month",Zero downpayment
26,Tata NEXON,Tata,XZA+ 1.5 ,2018,,"44,751",1st,Diesel,"94,299",",118/month",Zero downpayment
27,Volkswagen Vento,Volkswagen,HIGHLINE 1.2 TSI AT ,2017,Automatic,"20,491",1st,Petrol,"11,199",",045/month",Zero downpayment
28,Ford Ecosport,Ford,1.0 ECOBOOST TITANIUM OPT ,2014,Manual,"38,587",1st,Petrol,"96,899",",278/month",Zero downpayment
29,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2014,Manual,"97,858",1st,Diesel,"67,499",",624/month",Zero downpayment
30,Maruti Vitara Brezza,Maruti,VDI OPT ,2017,Manual,"98,293",1st,Diesel,"45,199",",577/month",Zero downpayment
31,Hyundai i20 Active,Hyundai,1.2 S ,2017,Manual,"29,389",2nd,Petrol,"06,599",",493/month",Zero downpayment
32,Maruti S Cross,Maruti,ZETA SHVS ,2017,Manual,"60,754",1st,Diesel,"77,799",",302/month",Zero downpayment
33,Maruti New  Wagon-R,Maruti,ZXI 1.2 ,2019,Manual,"32,057",1st,Petrol,"10,099",",571/month",Zero downpayment
